country_code_3,overall_contradiction_score,transition_capacity_score,stress_absorption_gap,stress_capacity_quadrant
CAN,0.2439771976285798,0.8283674242702586,-0.5843902266416787,High Stress / High Capacity
CEB,0.162374558546489,,,No data
CHE,0.1849745033775167,0.9790818068716787,-0.7941073034941619,Low Stress / High Capacity
CHI,0.1252763472184541,,,No data
CHL,0.1529157802281932,0.82410217468167,-0.6711863944534768,Low Stress / High Capacity
CHN,0.3866699350815975,0.10764814004023272,0.2790217950413648,High Stress / Low Capacity
CIV,0.1858470666008706,0.41307908094898316,-0.22723201434811255,Low Stress / High Capacity
CMR,0.1558685834739182,0.2371861262697763,-0.08131754279585812,Low Stress / Low Capacity
COD,0.3295847216481873,0.25196262624937454,0.07762209539881276,High Stress / Low Capacity
COG,0.2693311596891983,0.29456693130670714,-0.02523577161750884,High Stress / Low Capacity
COK,0.1010315297948508,,,No data
COL,0.178311249164526,0.6307856104321069,-0.4524743612675809,Low Stress / High Capacity
COM,0.1891780737647262,0.29268094389201593,-0.10350287012728973,High Stress / Low Capacity
CPV,0.2403872072844867,0.6721151210810867,-0.4317279137966,High Stress / High Capacity
CRI,0.1363749482064369,0.7377064353252805,-0.6013314871188435,Low Stress / High Capacity
CSS,0.1191510409090792,,,No data
CUB,0.1350396172717628,0.2010295582404422,-0.06598994096867938,Low Stress / Low Capacity
CUW,0.172296612998421,,,No data
CYM,0.1252763472184541,,,No data
CYP,0.1997352176709599,0.45862256866296414,-0.2588873509920042,High Stress / High Capacity
CZE,0.0842718452064272,0.8079013642761127,-0.7236295190696855,Low Stress / High Capacity
DEU,0.1336952050238124,0.6649808946964191,-0.5312856896726067,Low Stress / High Capacity
DJI,0.2712232795580598,0.2925740737511601,-0.02135079419310032,High Stress / Low Capacity
DMA,0.234115838337499,,,No data
DNK,0.2083600077687816,0.747645974786722,-0.5392859670179404,High Stress / High Capacity
DOM,0.1166021557690712,0.6862456384699921,-0.5696434827009209,Low Stress / High Capacity
DZA,0.171827497943004,0.16613029616435154,0.005697201778652461,Low Stress / Low Capacity
EAR,0.0394648011821099,,,No data
ECU,0.1232133374273728,0.37869108780512384,-0.25547775037775106,Low Stress / Low Capacity
EGY,0.0854613929583344,0.1509736476707669,-0.06551225471243251,Low Stress / Low Capacity
ERI,0.2873963664634948,0.07361757014123811,0.21377879632225671,High Stress / Low Capacity
ESP,0.1510406886195861,0.8195805843947386,-0.6685398957751525,Low Stress / High Capacity
EST,0.0999911607017852,0.6977196554176799,-0.5977284947158947,Low Stress / High Capacity
ETH,0.2728072035958813,0.3009849353612551,-0.028177731765373804,High Stress / Low Capacity
FCS,0.1142390241562351,,,No data
FIN,0.1985650476873068,0.8807658276732516,-0.6822007799859449,High Stress / High Capacity
FJI,0.2925385555255708,0.5399454073296179,-0.24740685180404715,High Stress / High Capacity
FRA,0.171620772560582,0.7345869402674798,-0.5629661677068978,Low Stress / High Capacity
FRO,0.1768453757349567,,,No data
FSM,0.3574636000505745,,,No data
GAB,0.0721062697218347,0.33154185997599317,-0.25943559025415847,Low Stress / Low Capacity
GBR,0.1781902462191333,0.7856980042215719,-0.6075077580024386,Low Stress / High Capacity
GEO,0.2104757432089146,0.3252349173884109,-0.11475917417949633,High Stress / Low Capacity
GHA,0.1085381112038993,0.6784638028983496,-0.5699256916944503,Low Stress / High Capacity
GIB,0.1252763472184541,,,No data
GIN,0.2267334447213131,0.24672889546915927,-0.019995450747846172,High Stress / Low Capacity
GMB,0.2251432096456105,0.4685633319300083,-0.24342012228439783,High Stress / High Capacity
GNB,0.274166817154202,0.15691472200543893,0.11725209514876306,High Stress / Low Capacity
GNQ,0.1234107647303096,0.08136733284812465,0.04204343188218494,Low Stress / Low Capacity
GRC,0.2305161992043186,0.5488405013993862,-0.31832430219506763,High Stress / High Capacity
GRD,0.2403207282738872,,,No data
GRL,0.2200621821132436,,,No data
GTM,0.2625899713409778,0.6259105856242018,-0.363320614283224,High Stress / High Capacity
GUM,0.1712722196802951,,,No data
GUY,0.1380663286587681,0.4889726938486101,-0.350906365189842,Low Stress / High Capacity
HKG,0.1936836753567718,0.15627541768719594,0.03740825766957587,High Stress / Low Capacity
HND,0.1300722976456642,0.35045347278198125,-0.22038117513631705,Low Stress / Low Capacity
HPC,0.1813045510448848,,,No data
HRV,0.120022764470248,0.6502758077454409,-0.530253043275193,Low Stress / High Capacity
HTI,0.3124710355403244,0.20837203750501343,0.10409899803531097,High Stress / Low Capacity
HUN,0.1169671038178306,0.27881522624941,-0.16184812243157942,Low Stress / Low Capacity
IBD,0.0819293769948303,,,No data
IBT,0.0485556775435847,,,No data
IDA,0.1176322859705726,,,No data
IDB,0.0797922226313929,,,No data
IDN,0.2764361607395664,0.47408285395911093,-0.19764669321954453,High Stress / High Capacity
IDX,0.1459028787298379,,,No data
IMN,0.1252763472184541,,,No data
IND,0.1838121718910098,0.3734096233598151,-0.1895974514688053,Low Stress / Low Capacity
IRL,0.192826369346967,0.8968703540896538,-0.7040439847426867,High Stress / High Capacity
IRN,0.350866029760167,0.1450207180507445,0.2058453117094225,High Stress / Low Capacity
IRQ,0.2885928294885022,0.2608587554627145,0.027734074025787703,High Stress / Low Capacity
ISL,0.2345073651604799,0.7060631956083927,-0.4715558304479128,High Stress / High Capacity
ISR,0.2462393216622516,0.670963879190497,-0.42472455752824545,High Stress / High Capacity
ITA,0.1650622323171996,0.6106295416616181,-0.44556730934441846,Low Stress / High Capacity
JAM,0.2090513023394329,0.7779962070982603,-0.5689449047588274,High Stress / High Capacity
JOR,0.2053230944574309,0.3528006010908973,-0.14747750663346637,High Stress / Low Capacity
JPN,0.2195353445956253,0.7830052672922185,-0.5634699226965932,High Stress / High Capacity
KAZ,0.3470748876766277,0.25527809627844317,0.09179679139818453,High Stress / Low Capacity
KEN,0.2141922813588457,0.4600110182664935,-0.2458187369076478,High Stress / High Capacity
KGZ,0.3194102044062069,0.2902381181797212,0.02917208622648565,High Stress / Low Capacity
KHM,0.0631339777245812,0.13903896835330945,-0.07590499062872826,Low Stress / Low Capacity
KIR,0.3764931198310187,,,No data
KNA,0.2266429653888688,,,No data
KOR,0.225315580084517,0.818423933998527,-0.59310835391401,High Stress / High Capacity
KWT,0.4162300679552424,0.22681228463103253,0.1894177833242099,High Stress / Low Capacity
LAO,0.1966821189178112,0.14492596095237334,0.051756157965437866,High Stress / Low Capacity
LBN,0.2496959905609691,0.344657991667284,-0.09496200110631489,High Stress / Low Capacity
LBR,0.3143814322584438,0.6255414461771573,-0.31116001391871356,High Stress / High Capacity
LBY,0.2535505853773978,0.305826097341829,-0.0522755119644312,High Stress / Low Capacity
LCA,0.2205672527053253,,,No data
LIE,0.1174688594807112,,,No data
LKA,0.1861503824420504,0.5682783805475741,-0.38212799810552367,Low Stress / High Capacity
LMY,0.0438498221100695,,,No data
LSO,0.2488085469898656,0.63499688867911,-0.3861883416892444,High Stress / High Capacity
LTE,0.1070661866892401,,,No data
LTU,0.1142969501669471,0.6269974975462079,-0.5127005473792609,Low Stress / High Capacity
LUX,0.1606453813827348,0.8818597050564301,-0.7212143236736953,Low Stress / High Capacity
LVA,0.123023497685808,0.8311352691764333,-0.7081117714906253,Low Stress / High Capacity
MAC,0.2214729816673504,,,No data
MAF,0.1252763472184541,,,No data
MAR,0.2445710603301475,0.3796247523806958,-0.13505369205054832,High Stress / Low Capacity
MCO,0.1712722196802951,,,No data
MDA,0.1947890022188813,0.6253435255818818,-0.4305545233630005,High Stress / High Capacity
MDG,0.3766900116493847,0.37858133465672716,-0.0018913230073424603,High Stress / Low Capacity
MDV,0.3932868462196909,0.4974496089438982,-0.10416276272420733,High Stress / High Capacity
MEA,0.0690554715959338,,,No data
MEX,0.2735058349019746,0.33285243843586265,-0.05934660353388804,High Stress / Low Capacity
MHL,0.3343070599259679,,,No data
MKD,0.127087862083776,0.47516591007614223,-0.3480780479923662,Low Stress / High Capacity
MLI,0.2280422182051362,0.21412887347378654,0.01391334473134967,High Stress / Low Capacity
MLT,0.1444583836676687,0.5947600457032441,-0.4503016620355754,Low Stress / High Capacity
MMR,0.2972630774771893,0.08113327665784136,0.2161298008193479,High Stress / Low Capacity
MNA,0.0604212967586656,,,No data
MNE,0.1563912261954883,0.5454087530682228,-0.3890175268727345,Low Stress / High Capacity
MNG,0.4383816619603556,0.5139535292984485,-0.0755718673380929,High Stress / High Capacity
MNP,0.1708670838039551,,,No data
MOZ,0.2404462154215275,0.3575714715290329,-0.1171252561075054,High Stress / Low Capacity
MRT,0.1974390165523248,0.18817374113029958,0.00926527542202521,High Stress / Low Capacity
MSR,0.1022445331912603,,,No data
MUS,0.3231732330671706,0.7247674792537988,-0.4015942461866282,High Stress / High Capacity
MWI,0.3015522476538853,0.6126832610580505,-0.3111310134041652,High Stress / High Capacity
MYS,0.263909839483594,0.5140446561764497,-0.2501348166928557,High Stress / High Capacity
NAM,0.1796948698303245,0.5736883555463614,-0.39399348571603693,Low Stress / High Capacity
NCL,0.206988510135733,,,No data
NER,0.4861052391883396,0.2901811933781839,0.1959240458101557,High Stress / Low Capacity
NGA,0.2059777197906704,0.503591189537357,-0.2976134697466867,High Stress / High Capacity
NIC,0.1590650395380092,0.08283745854382846,0.07622758099418075,Low Stress / Low Capacity
NIR,0.1572602467550299,,,No data
NIU,0.1046728073131023,,,No data
NLD,0.176576643917221,0.6902611223679371,-0.5136844784507162,Low Stress / High Capacity
NOR,0.1695221588499506,0.9445228921611601,-0.7750007333112096,Low Stress / High Capacity
NPL,0.1287834265569681,0.6362386875406589,-0.5074552609836909,Low Stress / High Capacity
NRU,0.2477323446719619,,,No data
NZL,0.2902308087323391,0.7619482502769619,-0.4717174415446228,High Stress / High Capacity
OMN,0.3103956517841553,0.1366064812674862,0.1737891705166691,High Stress / Low Capacity
OSS,0.1608944990046465,,,No data
PAK,0.1516899905704198,0.34981072571620797,-0.19812073514578818,Low Stress / Low Capacity
PAN,0.1571526188299717,0.450158853349731,-0.29300623451975927,Low Stress / High Capacity
PER,0.1754650653375576,0.5903562704297249,-0.41489120509216737,Low Stress / High Capacity
PHL,0.2943329573092954,0.3964174627055063,-0.10208450539621094,High Stress / Low Capacity
PLW,0.2278517596832231,,,No data
PNG,0.4429704692894183,0.34793589931999375,0.09503456996942455,High Stress / Low Capacity
POL,0.1117336326400833,0.6120600756746354,-0.5003264430345521,Low Stress / High Capacity
PRE,0.1491832439593813,,,No data
PRI,0.2540155032498973,,,No data
PRK,0.1786389012968822,0.07825747016022262,0.10038143113665958,Low Stress / Low Capacity
PRT,0.1702733019911816,0.7481457164677522,-0.5778724144765706,Low Stress / High Capacity
PRY,0.1847278856038384,0.4289825840374372,-0.24425469843359882,Low Stress / High Capacity
PSE,0.0964330483301283,0.08875304428552179,0.007680004044606503,Low Stress / Low Capacity
PSS,0.1917088344479302,,,No data
PST,0.2012989016833046,,,No data
PYF,0.1172869089712498,,,No data
QAT,0.5179492576016171,0.07826395804447817,0.439685299557139,High Stress / Low Capacity
ROU,0.1535275792859872,0.5538091975989002,-0.40028161831291303,Low Stress / High Capacity
RUS,0.3635629974383697,0.1519535307835421,0.21160946665482758,High Stress / Low Capacity
RWA,0.2033658387158641,0.19227561285672648,0.011090225859137631,High Stress / Low Capacity
SAU,0.2045888302979999,0.066966476881319,0.1376223534166809,High Stress / Low Capacity
SDN,0.1161639977487534,0.13562371532759124,-0.01945971757883784,Low Stress / Low Capacity
SEN,0.2163357739389644,0.6796327793735232,-0.46329700543455876,High Stress / High Capacity
SGP,0.354739589289579,0.31879005961855483,0.03594952967102416,High Stress / Low Capacity
SHN,0.1166815409375565,,,No data
SLB,0.3140771150487017,0.5987712222827691,-0.2846941072340674,High Stress / High Capacity
SLE,0.2556223776219364,0.46602317100427426,-0.21040079338233786,High Stress / High Capacity
SLV,0.1981527219373795,0.22161315575461163,-0.023460433817232118,High Stress / Low Capacity
SMR,0.1678129825823146,,,No data
SOM,0.2762238761083284,0.18174827089183782,0.09447560521649057,High Stress / Low Capacity
SPM,0.1251096472135796,,,No data
SRB,0.1642961279946897,0.37987872743372375,-0.21558259943903404,Low Stress / Low Capacity
SSD,0.3272639202736229,0.0843019155592439,0.24296200471437898,High Stress / Low Capacity
SST,0.1442890868439507,,,No data
STP,0.1968979003669702,0.47050508023827436,-0.2736071798713042,High Stress / High Capacity
SUR,0.0565605680804152,0.5736695143733641,-0.5171089462929489,Low Stress / High Capacity
SVK,0.1535016349357517,0.4987010542865204,-0.3451994193507687,Low Stress / High Capacity
SVN,0.1384956768115176,0.7631397970300021,-0.6246441202184845,Low Stress / High Capacity
SWE,0.1914292083801679,0.9165263330679989,-0.725097124687831,High Stress / High Capacity
SWZ,0.2292738482177784,0.14818758630561596,0.08108626191216245,High Stress / Low Capacity
SXM,0.1978303344928412,,,No data
SYC,0.2540221067722725,0.5971344470892063,-0.3431123403169338,High Stress / High Capacity
SYR,0.1197366136673186,0.20123307601041165,-0.08149646234309306,Low Stress / Low Capacity
TCA,0.1963299825952092,,,No data
TCD,0.3704314365322195,0.18386282910977597,0.18656860742244352,High Stress / Low Capacity
TEA,0.1043685874785139,,,No data
TEC,0.1294734843480397,,,No data
TGO,0.2283877779963688,0.40212610562273554,-0.17373832762636673,High Stress / Low Capacity
THA,0.1132176274759182,0.39475512078703506,-0.2815374933111169,Low Stress / Low Capacity
TJK,0.1655984898685208,0.08047400145764079,0.08512448841088001,Low Stress / Low Capacity
TKM,0.3835031868735604,0.05922465240191711,0.3242785344716433,High Stress / Low Capacity
TLA,0.1653583365152519,,,No data
TLS,0.2331269042932187,0.49997573285756003,-0.26684882856434133,High Stress / High Capacity
TMN,0.0614567612934507,,,No data
TON,0.2411054399924035,,,No data
TSA,0.0615621677910419,,,No data
TSS,0.1480871799536597,,,No data
TTO,0.2841162746565301,0.7601120349515318,-0.4759957602950017,High Stress / High Capacity
TUN,0.2338053457452862,0.34494765905445046,-0.11114231330916427,High Stress / Low Capacity
TUR,0.3080757778005558,0.21241875543800218,0.0956570223625536,High Stress / Low Capacity
TUV,0.1620130290744932,,,No data
TWN,0.1782246317223247,0.8376238499669846,-0.6593992182446599,Low Stress / High Capacity
TZA,0.1964886603928358,0.29058939863572536,-0.09410073824288956,High Stress / Low Capacity
UGA,0.2198385116034832,0.3516546704938001,-0.13181615889031692,High Stress / Low Capacity
UKR,0.2736268064083147,0.4254859248018028,-0.1518591183934881,High Stress / High Capacity
URY,0.2776055599738482,0.7557530475225502,-0.478147487548702,High Stress / High Capacity
USA,0.3050781809232373,0.5267531699923053,-0.22167498906906796,High Stress / High Capacity
UZB,0.1792073459145419,0.2075073274031063,-0.028299981488564385,Low Stress / Low Capacity
VCT,0.2051356279546692,,,No data
VEN,0.1834261026500148,0.12225710658949854,0.06116899606051626,Low Stress / Low Capacity
VGB,0.1269909361425258,,,No data
VIR,0.1742328280073956,,,No data
VNM,0.3955979811435973,0.2577992063425874,0.13779877480100988,High Stress / Low Capacity
VUT,0.3980177179937009,0.46702385611910036,-0.06900613812539946,High Stress / High Capacity
WLF,0.1134064317672508,,,No data
WSM,0.2848617999017747,,,No data
XKX,0.1252763472184541,0.5066773388966327,-0.3814009916781786,Low Stress / High Capacity
YEM,0.1071909509996585,0.1085474534279918,-0.001356502428333295,Low Stress / Low Capacity
ZAF,0.1662482205980079,0.5669965489730067,-0.40074832837499874,Low Stress / High Capacity
ZMB,0.2243001038237524,0.5873824086607224,-0.36308230483697,High Stress / High Capacity
ZWE,0.1390302779919155,0.2671583907286091,-0.12812811273669358,Low Stress / Low Capacity
