country,sector,winner,loser,rationale
Kyrgyz Republic,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 30.1 and the bottom 20% holding an average of 9.0% of national income.
Lao PDR,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 35.3 and the bottom 20% holding an average of 7.9% of national income.
Latvia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 35.8 and the bottom 20% holding an average of 6.5% of national income.
Lebanon,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 31.8 and the bottom 20% holding an average of 7.9% of national income.
Lesotho,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 53.9 and the bottom 20% commanding just 3.0% of national income.
Liberia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 35.0 and the bottom 20% holding an average of 7.2% of national income.
Lithuania,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 35.8 and the bottom 20% holding an average of 6.4% of national income.
Luxembourg,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 31.1 and the bottom 20% holding an average of 8.1% of national income.
Madagascar,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 42.8 and the bottom 20% holding an average of 5.8% of national income.
Malawi,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 49.0 and the bottom 20% holding an average of 5.7% of national income.
Malaysia,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 45.8 and the bottom 20% commanding just 4.9% of national income.
Maldives,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.0 and the bottom 20% holding an average of 7.2% of national income.
Mali,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 40.5 and the bottom 20% holding an average of 6.3% of national income.
Malta,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 29.1 and the bottom 20% holding an average of 8.5% of national income.
Mauritania,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.9 and the bottom 20% holding an average of 6.1% of national income.
Mauritius,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.0 and the bottom 20% holding an average of 7.3% of national income.
Mexico,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 49.9 and the bottom 20% commanding just 4.3% of national income.
"Micronesia, Fed. Sts.",Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 41.2 and the bottom 20% holding an average of 5.5% of national income.
Moldova,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.9 and the bottom 20% holding an average of 7.9% of national income.
Mongolia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 33.0 and the bottom 20% holding an average of 7.7% of national income.
Montenegro,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.3 and the bottom 20% holding an average of 5.0% of national income.
Morocco,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.8 and the bottom 20% holding an average of 6.6% of national income.
Mozambique,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 50.0 and the bottom 20% commanding just 4.7% of national income.
Myanmar,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.4 and the bottom 20% holding an average of 8.1% of national income.
Namibia,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 61.1 and the bottom 20% commanding just 3.0% of national income.
Nepal,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.3 and the bottom 20% holding an average of 7.5% of national income.
Netherlands,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 28.7 and the bottom 20% holding an average of 8.8% of national income.
Nicaragua,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 50.6 and the bottom 20% commanding just 4.0% of national income.
Niger,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.5 and the bottom 20% holding an average of 7.3% of national income.
Nigeria,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 42.3 and the bottom 20% commanding just 5.3% of national income.
North Macedonia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.9 and the bottom 20% holding an average of 5.1% of national income.
Norway,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 27.0 and the bottom 20% holding an average of 9.3% of national income.
Pakistan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 31.6 and the bottom 20% holding an average of 9.0% of national income.
Panama,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 53.6 and the bottom 20% commanding just 2.7% of national income.
Papua New Guinea,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 43.8 and the bottom 20% commanding just 5.0% of national income.
Paraguay,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 50.9 and the bottom 20% commanding just 3.9% of national income.
Peru,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 47.9 and the bottom 20% commanding just 4.0% of national income.
Philippines,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 45.9 and the bottom 20% commanding just 5.4% of national income.
Poland,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 33.2 and the bottom 20% holding an average of 7.3% of national income.
Portugal,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.3 and the bottom 20% holding an average of 6.8% of national income.
Romania,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.3 and the bottom 20% holding an average of 5.4% of national income.
Russian Federation,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.8 and the bottom 20% holding an average of 6.2% of national income.
Rwanda,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 47.3 and the bottom 20% commanding just 5.5% of national income.
Samoa,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 40.5 and the bottom 20% holding an average of 6.5% of national income.
Sao Tome and Principe,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.7 and the bottom 20% holding an average of 6.7% of national income.
Senegal,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 43.2 and the bottom 20% holding an average of 5.8% of national income.
Serbia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.2 and the bottom 20% holding an average of 4.6% of national income.
Seychelles,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.5 and the bottom 20% holding an average of 6.2% of national income.
Sierra Leone,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.6 and the bottom 20% holding an average of 7.5% of national income.
Slovak Republic,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 26.5 and the bottom 20% holding an average of 8.8% of national income.
Slovenia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 24.9 and the bottom 20% holding an average of 9.8% of national income.
Solomon Islands,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 41.6 and the bottom 20% holding an average of 6.0% of national income.
South Africa,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 61.7 and the bottom 20% commanding just 2.7% of national income.
South Sudan,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 45.2 and the bottom 20% commanding just 3.9% of national income.
Spain,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.6 and the bottom 20% holding an average of 6.5% of national income.
Sri Lanka,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.8 and the bottom 20% holding an average of 7.7% of national income.
St. Lucia,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 46.9 and the bottom 20% commanding just 4.2% of national income.
Sudan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.8 and the bottom 20% holding an average of 7.3% of national income.
Sweden,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 26.9 and the bottom 20% holding an average of 8.9% of national income.
Switzerland,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 33.1 and the bottom 20% holding an average of 7.7% of national income.
Syrian Arab Republic,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.4 and the bottom 20% holding an average of 7.5% of national income.
Tajikistan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.1 and the bottom 20% holding an average of 7.9% of national income.
Tanzania,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 38.2 and the bottom 20% holding an average of 6.9% of national income.
Thailand,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 40.5 and the bottom 20% holding an average of 6.5% of national income.
Timor-Leste,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 30.8 and the bottom 20% holding an average of 8.7% of national income.
Togo,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 43.8 and the bottom 20% commanding just 5.3% of national income.
Tonga,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.6 and the bottom 20% holding an average of 6.6% of national income.
Trinidad and Tobago,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 41.5 and the bottom 20% commanding just 5.2% of national income.
